id,roman,decimal
1,L,50
conversions,1
id,roman,decimal
1,L,50
2,IC,99
conversions,2
id,roman,decimal
1,L,50
2,IC,99
3,M,1000
conversions,3
id,roman,decimal
1,L,50
2,IC,99
3,M,1000
4,IV,4
conversions,4
id,roman,decimal
1,L,50
2,IC,99
3,M,1000
4,IV,4
5,X,10
conversions,5
id,roman,decimal
1,L,50
2,IC,99
3,M,1000
4,IV,4
5,X,10
6,C,100
conversions,6
id,roman,decimal
1,L,50
2,IC,99
3,M,1000
4,IV,4
5,X,10
6,C,100
7,XI,11
conversions,7
id,roman,decimal
1,L,50
2,IC,99
3,M,1000
4,IV,4
5,X,10
6,C,100
7,XI,11
8,VII,7
conversions,8
